epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.161,1.05011,3.16504,1.40656,0.46301,0.34018,0.295,0.21032,0.95035,2.83911,1.3437,0.000331407,0.000331407,0.000331407
2,382.611,1.05997,2.47718,1.42018,0.6841,0.26281,0.33413,0.2424,0.99173,2.95729,1.43714,0.000631835,0.000631835,0.000631835
3,548.507,1.03594,2.37678,1.37475,0.2924,0.42142,0.31655,0.22309,0.97549,2.73735,1.41834,0.000899264,0.000899264,0.000899264
4,719.441,1.0796,2.21659,1.3756,0.49138,0.46544,0.42839,0.30821,1.02344,2.38624,1.41979,0.0008515,0.0008515,0.0008515
5,900.935,1.04335,2.06293,1.36919,0.62049,0.38736,0.44091,0.31258,0.99551,2.19053,1.38026,0.000802,0.000802,0.000802
6,1089.24,1.04154,2.03865,1.37402,0.3759,0.52191,0.42118,0.32145,0.93328,1.98856,1.31969,0.0007525,0.0007525,0.0007525
7,1267.5,0.99266,1.90133,1.31883,0.51932,0.56661,0.48224,0.36123,0.904,1.94901,1.29231,0.000703,0.000703,0.000703
8,1439,0.95711,1.74079,1.3203,0.84809,0.3844,0.49296,0.37193,0.89151,1.77784,1.2837,0.0006535,0.0006535,0.0006535
9,1613.64,0.9874,1.72429,1.32209,0.54794,0.46488,0.46914,0.35058,0.90421,1.65283,1.26832,0.000604,0.000604,0.000604
10,1781.52,0.95087,1.61446,1.30036,0.46883,0.57053,0.4752,0.37648,0.82121,1.62345,1.19955,0.0005545,0.0005545,0.0005545
11,1945.44,0.84909,1.61599,1.27521,0.61356,0.53784,0.54493,0.42844,0.8556,1.60229,1.25958,0.000505,0.000505,0.000505
12,2108.3,0.81318,1.49945,1.25043,0.56384,0.68029,0.56508,0.43941,0.83387,1.47463,1.2336,0.0004555,0.0004555,0.0004555
13,2272.4,0.79501,1.42802,1.21431,0.50761,0.62156,0.57086,0.46296,0.77658,1.39068,1.16505,0.000406,0.000406,0.000406
14,2439.86,0.7499,1.30151,1.18173,0.47302,0.61887,0.55067,0.46483,0.73791,1.28477,1.1325,0.0003565,0.0003565,0.0003565
15,2609.21,0.73044,1.25986,1.16286,0.58956,0.61954,0.59085,0.48615,0.76657,1.29621,1.15165,0.000307,0.000307,0.000307
16,2774.74,0.69763,1.1858,1.12985,0.65065,0.62921,0.62184,0.51585,0.71333,1.21262,1.10747,0.0002575,0.0002575,0.0002575
17,2941.07,0.68223,1.11315,1.12075,0.69626,0.55178,0.62505,0.50901,0.74816,1.17508,1.13678,0.000208,0.000208,0.000208
18,3104.54,0.65632,1.08874,1.12794,0.63868,0.61955,0.57514,0.4674,0.74331,1.19585,1.13661,0.0001585,0.0001585,0.0001585
19,3270.85,0.65439,1.02855,1.09572,0.64873,0.59684,0.63256,0.51817,0.71751,1.14375,1.10894,0.000109,0.000109,0.000109
20,3438.32,0.63326,1.01503,1.08867,0.71361,0.59984,0.65035,0.53866,0.69423,1.11125,1.09295,5.95e-05,5.95e-05,5.95e-05
